comm,cnt
and,76
for,71
of,62
the,61
a,49
is,45
to,44
in,41
systems,29
data,27
as,27
that,26
standard,24
control,20
it,18
be,18
an,18
or,17
by,17
automation,17
used,17
process,16
industrial,15
requirements,15
system,15
iso,15
are,15
information,15
this,15
product,14
--,14
with,14
provides,13
management,13
on,13
exchange,12
iec,12
manufacturing,12
use,12
-,12
model,11
which,11
language,10
standards,10
applications,10
such,10
technical,9
integration,9
specifies,9
isoiec,9
communications,9
other,9
defines,8
can,8
all,8
using,8
architecture,8
based,8
format,8
engineering,8
also,7
digital,7
from,7
between,7
communication,7
xml,7
international,7
parts,7
models,6
things,6
design,6
describes,6
networks,6
concepts,6
provide,6
open,6
needs,6
part,6
was,6
related,6
known,6
software,6
specification,6
characteristics,6
network,5
power,5
internet,5
representation,5
business,5
processes,5
protocol,5
equipment,5
semantic,5
intended,5
not,5
series,5
many,5
3d,5
security,5
electrical,5
required,5
devices,5
general,5
designed,5
reference,5
web,5
description,5
family,5
tools,5
specifications,5
means,5
enterprise,4
applicable,4
production,4
set,4
various,4
common,4
types,4
rdf,4
interchange,4
guidance,4
industry,4
group,4
iot,4
interface,4
these,4
organization,4
technology,4
ensure,4
interoperability,4
specifying,4
at,4
geometrical,4
rules,4
definition,4
terminology,4
energy,4
layer,4
products,4
but,4
overview,4
measurement,4
safety,4
complex,4
only,4
markup,4
file,4
referred,4
foundation,4
controllers,3
eg,3
developed,3
programmable,3
machine,3
defined,3
structure,3
real-time,3
structures,3
define,3
documentation,3
transport,3
transmission,3
physical,3
there,3
secure,3
enable,3
protocols,3
their,3
classification,3
object,3
particular,3
described,3
entities,3
working,3
will,3
unique,3
industries,3
sparql,3
those,3
sharing,3
content,3
create,3
efficiency,3
services,3
schema,3
facilities,3
framework,3
within,3
documents,3
like,3
over,3
line,3
frequency,3
monitoring,3
aspects,3
procedures,3
supported,3
scheme,3
safety-related,3
any,3
machine-to-machine,3
unified,3
basis,3
distribution,3
identification,3
objects,3
existing,3
defining,3
tolerancing,3
quality,3
different,3
document,3
elements,3
graphical,3
