pred,obj,cnt
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/i40/sto#Standard,100
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual,100
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Abstraction100002137,42
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#IEC,42
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#ISO,39
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/SystemOfMeasurement113577171,37
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Measure100033615,37
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Standard107260623,37
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Communication100033020,21
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#ControlDevice,20
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Product,17
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#FieldDevice,17
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Message106598915,17
https://w3id.org/i40/sto#hasDomain,https://w3id.org/i40/sto#IndustrialAutomation,15
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Station,14
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Engineering,14
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#WorkCenter,12
http://purl.org/dc/terms/license,Private,11
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Standard,10
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatIECStandards,10
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Software,10
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Work,10
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Enterprise,9
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:IEC_standards,9
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Protocol106665108,9
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Rule106652242,9
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Direction106786629,9
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatISOStandards,8
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatXML-basedStandards,8
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:ISO_standards,8
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Asset,8
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Format106636806,7
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/PsychologicalFeature100023100,7
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Safety,7
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Information106634376,7
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Thing,7
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Integration,6
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Automation,6
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Whole100003553,6
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_62541,6
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#ProductionSystemModelData,6
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/PhysicalEntity100001930,6
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatNetworkProtocols,6
